year,site,catch,runoff_mm,sed_kgha,tn_kgha,tp_kgha,no3_kgha,sed_mgL,tn_mgL,tp_mgL,no3_mgL
2007,B,1,63.17351178,39.43259052,0.741890419,0.0973278,0.03132366,62.41950053,1.174369444,0.154064255,0.049583534
2007,B,2,6.900385195,0,0.000294195,0.000294195,0.000294195,0,0.004263456,0.004263456,0.004263456
2007,B,3,35.42166888,89.61502422,1.851636041,0.213546439,0.029271545,252.9949239,5.227410508,0.602869503,0.082637397
2007,B,4,77.27404961,211.6544942,1.305883525,0.14000581,0.434527754,273.9011288,1.689937996,0.181180889,0.562320412
2007,B,5,81.27716205,111.2484057,2.479439895,0.264103561,0.368488161,136.875357,3.05059851,0.324941908,0.453372327
2007,B,6,80.17102505,139.8927281,3.731278071,0.530120723,0.62270903,174.492877,4.654147891,0.661237302,0.776725793
2007,I,1,9.692091933,4.320950214,0.275264711,0.020239303,0.141410414,44.5822248,2.840095951,0.208822854,1.459028812
2007,I,2,10.06468498,9.402321063,0.419262207,0.039196023,0.140997583,93.41893049,4.165676405,0.389441128,1.400914023
2007,I,3,32.21301264,25.63277611,0.408622454,0.070680641,0.00519061,79.57273788,1.268501207,0.219416425,0.016113394
2007,W,1,1.332375618,0,0,0,0,0,0,0,0
2007,W,2,11.00669244,0,0,0,0,0,0,0,0
2007,W,3,4.999724465,0,0,0,0,0,0,0,0
2008,B,1,22.59691386,1.115676837,0.452914153,0.198606942,0.010385938,4.937297384,2.004318623,0.878911798,0.045961753
2008,B,2,323.7484476,1271.857208,14.61973772,3.915751036,4.738930282,392.8535312,4.515770758,1.209504189,1.463769268
2008,B,3,77.70685951,107.5787331,1.868772333,0.606831851,0.393403387,138.441746,2.404900088,0.780924431,0.506265972
2008,B,4,278.2013368,2336.439623,15.39717506,4.423376029,2.80735954,839.8376695,5.53454388,1.589990932,1.00911073
2008,B,5,143.456402,518.0317909,6.93761255,1.589392948,1.2694261,361.1074748,4.836042485,1.107927513,0.884886336
2008,B,6,302.0261736,16953.17838,95.8175859,18.94845757,4.562412011,5613.148748,31.72492793,6.273779967,1.510601534
2008,I,1,66.97059936,1002.43717,7.762139927,2.09134028,2.12894149,1496.831714,11.59036951,3.122773724,3.178919572
2008,I,2,82.7061149,1220.693072,7.60792735,2.199201076,2.463017835,1475.940532,9.198748314,2.659054991,2.97803595
2008,I,3,206.3894388,38930.55771,219.7829986,54.32121453,4.628679213,18862.66949,106.4894599,26.31976464,2.242691894
2008,W,1,78.08,690.2575665,6.963821575,1.240697069,1.956291721,884.0023558,8.918460262,1.588941846,2.505393022
2008,W,2,66.7,693.9399838,3.457278888,0.672607903,0.534747706,1040.434605,5.183549985,1.008451097,0.801755239
2008,W,3,71.12,8132.210441,24.91412753,4.802661221,1.257093147,11433.91059,35.0293329,6.752555091,1.767476476
2009,B,1,73.8046223,73.32686782,1.139291878,0.323270822,0.035019132,99.35267675,1.543659248,0.43800891,0.047448427
2009,B,2,154.0879879,153.1014289,2.538289336,0.509527266,0.094863373,99.35974308,1.647298644,0.330672931,0.061564418
2009,B,3,48.27391493,18.54915767,0.377053385,0.072854898,0.01293466,38.42480498,0.781070658,0.150919803,0.026794304
2009,B,4,154.7000797,334.8614878,4.150016665,1.024628225,0.220430802,216.4585102,2.682620896,0.66233206,0.142489133
2009,B,5,99.27860073,.,.,.,.,.,.,.,.
2009,B,6,187.0042434,2735.525024,16.05629788,3.719673906,0.539342827,1462.814412,8.586060717,1.989085295,0.288412079
2009,I,1,36.17131165,52.55987394,1.414216713,0.194607253,0.072178773,145.308178,3.909774482,0.538015473,0.199547015
2009,I,2,63.73693835,165.4735412,2.759254064,0.563535113,0.222573677,259.6195322,4.329128658,0.884157802,0.349206727
2009,I,3,148.0068346,5580.347908,45.9310665,17.13565214,0.445224831,3770.33123,31.03307129,11.57760869,0.300813697
2009,W,1,23.00911404,27.49595548,0.263370565,0.061522282,0.02156995,119.5002791,1.144635835,0.267382231,0.093745244
2009,W,2,19.40564287,57.30280927,0.171003182,0.050781163,0.007016468,295.2894148,0.881203388,0.261682455,0.036156844
2009,W,3,51.98902217,347.7482571,1.457458178,0.327853321,0.03724325,668.8878586,2.803396019,0.630620288,0.071636758
2010,B,1,232.2289886,330.6044274,16.11014017,2.082611118,3.891246012,142.3613949,6.937178804,0.896792055,1.675607354
2010,B,2,476.4408045,509.9781374,28.62317915,2.064655242,3.963138031,107.0391395,6.007709433,0.433349793,0.831821707
2010,B,3,309.3809361,381.6619125,16.78147716,1.314913051,1.608622602,123.3630996,5.424211773,0.425014245,0.519948845
